"Hostname","IP","Software","Vendor","Model","Serial Number","Location","Date Added",""
"vgw01-drt-red","153.92.46.1","IOS-XE 17.06.01a","Cisco","C8000V","9G63BZP9G2A","Redhill","Nov. 19, 2021, 1:04 p.m.",""
"vgw01-nd4-nrt","153.92.46.5","IOS-XE 17.06.01a","Cisco","C8000V","9RKRUCZ5M84","Northampton","Nov. 19, 2021, 1:09 p.m.",""
